Datetime,T2M,LSTM
26-05-2025 17:00:00,35.96666667,35.37007233
26-05-2025 18:00:00,35.23333333,34.96439354
26-05-2025 19:00:00,34.5,34.64301083
26-05-2025 20:00:00,33.7,32.98759154
26-05-2025 21:00:00,32.9,33.09698629
26-05-2025 22:00:00,32.1,32.09121771
26-05-2025 23:00:00,31.7,31.94708102
27-05-2025 00:00:00,31.3,31.40013744
27-05-2025 01:00:00,30.9,31.51006215
27-05-2025 02:00:00,31.4,31.4560021
27-05-2025 03:00:00,31.9,31.707964
27-05-2025 04:00:00,32.4,32.45469311
27-05-2025 05:00:00,34,34.24297026
27-05-2025 06:00:00,35.6,35.62185089
27-05-2025 07:00:00,37.2,37.21815316
27-05-2025 08:00:00,38,37.68605977
27-05-2025 09:00:00,38.8,38.5035417
27-05-2025 10:00:00,39.6,38.97273585
27-05-2025 11:00:00,39.33333333,40.11576784
27-05-2025 12:00:00,39.06666667,38.51039412
27-05-2025 13:00:00,38.8,38.49012338
27-05-2025 14:00:00,36.73333333,36.41205183
27-05-2025 15:00:00,34.66666667,35.06688902
27-05-2025 16:00:00,32.6,32.46809449
27-05-2025 17:00:00,29.66666667,30.22467389
27-05-2025 18:00:00,26.73333333,26.43213917
27-05-2025 19:00:00,23.8,23.92476998
27-05-2025 20:00:00,24.86666667,24.49308811
27-05-2025 21:00:00,25.93333333,26.89267318
27-05-2025 22:00:00,27,26.46888984
27-05-2025 23:00:00,26.06666667,26.2052227
28-05-2025 00:00:00,25.13333333,25.41676697
28-05-2025 01:00:00,24.2,24.38505658
28-05-2025 02:00:00,25.66666667,25.58380351
28-05-2025 03:00:00,27.13333333,27.07527575
28-05-2025 04:00:00,28.6,28.61959309
28-05-2025 05:00:00,30.13333333,30.06759204
28-05-2025 06:00:00,31.66666667,32.09772652
28-05-2025 07:00:00,33.2,34.18857594
28-05-2025 08:00:00,34.06666667,33.81734876
28-05-2025 09:00:00,34.93333333,34.32073881
28-05-2025 10:00:00,35.8,35.76051907
28-05-2025 11:00:00,34.73333333,35.88701442
28-05-2025 12:00:00,33.66666667,33.30725248
28-05-2025 13:00:00,32.6,33.33303532
28-05-2025 14:00:00,30.33333333,31.08362394
28-05-2025 15:00:00,28.06666667,27.81909448
28-05-2025 16:00:00,25.8,26.05445697
28-05-2025 17:00:00,25.86666667,26.59490778
28-05-2025 18:00:00,25.93333333,25.76378225
28-05-2025 19:00:00,26,25.9089561
28-05-2025 20:00:00,25.53333333,25.27319772
28-05-2025 21:00:00,25.06666667,24.61285366
28-05-2025 22:00:00,24.6,24.30963425
28-05-2025 23:00:00,24.66666667,24.11930394
29-05-2025 00:00:00,24.73333333,24.74857592
29-05-2025 01:00:00,24.8,24.4556575
29-05-2025 02:00:00,25.46666667,25.57121891
29-05-2025 03:00:00,26.13333333,25.43751564
29-05-2025 04:00:00,26.8,26.94797414
29-05-2025 05:00:00,28.2,28.57276548
29-05-2025 06:00:00,29.6,28.70837431
29-05-2025 07:00:00,31,31.16728318
29-05-2025 08:00:00,32.06666667,32.61569693
29-05-2025 09:00:00,33.13333333,32.59236542
29-05-2025 10:00:00,34.2,34.94799711
29-05-2025 11:00:00,34,34.187391
29-05-2025 12:00:00,33.8,33.48470911
29-05-2025 13:00:00,33.6,33.57505931
29-05-2025 14:00:00,32.33333333,32.58302472
29-05-2025 15:00:00,31.06666667,31.10065731
29-05-2025 16:00:00,29.8,30.040939
29-05-2025 17:00:00,29.06666667,28.65492892
29-05-2025 18:00:00,28.33333333,28.40907379
29-05-2025 19:00:00,27.6,26.96776766
29-05-2025 20:00:00,27.06666667,27.01692486
29-05-2025 21:00:00,26.53333333,26.12909354
29-05-2025 22:00:00,26,25.67106101
