Datetime,T2M,SVM
14-05-2025 04:00:00,27.6,25.2214795780543
14-05-2025 05:00:00,30.5,28.9334799513671
14-05-2025 06:00:00,33.4,35.5388176129472
14-05-2025 07:00:00,36.3,38.2421645439737
14-05-2025 08:00:00,36.9,36.9778421788459
14-05-2025 09:00:00,37.5,39.46760702308
14-05-2025 10:00:00,38.1,37.9105973131973
14-05-2025 11:00:00,38.06666667,37.7786597159959
14-05-2025 12:00:00,38.03333333,38.1001976309833
14-05-2025 13:00:00,38,37.8521907750867
14-05-2025 14:00:00,36.36666667,36.1120429461576
14-05-2025 15:00:00,34.73333333,36.0862202151483
14-05-2025 16:00:00,33.1,33.2776429014185
14-05-2025 17:00:00,32.03333333,32.8763531224787
14-05-2025 18:00:00,30.96666667,32.1870125648551
14-05-2025 19:00:00,29.9,30.3593076275518
14-05-2025 20:00:00,28.83333333,27.6852928149346
14-05-2025 21:00:00,27.76666667,26.1659341630109
14-05-2025 22:00:00,26.7,26.87603962114
14-05-2025 23:00:00,26.03333333,25.8307001374593
15-05-2025 00:00:00,25.36666667,25.4700696031701
15-05-2025 01:00:00,24.7,24.6810046045928
15-05-2025 02:00:00,26.43333333,29.490258909812
15-05-2025 03:00:00,28.16666667,26.5927217384103
15-05-2025 04:00:00,29.9,27.5454638207313
15-05-2025 05:00:00,31.96666667,32.3599402430312
15-05-2025 06:00:00,34.03333333,33.5879441569796
15-05-2025 07:00:00,36.1,36.4739765468393
15-05-2025 08:00:00,37.23333333,37.9241930387659
15-05-2025 09:00:00,38.36666667,39.8860398353062
15-05-2025 10:00:00,39.5,37.7166263590921
15-05-2025 11:00:00,39.1,38.4412824999195
15-05-2025 12:00:00,38.7,39.2073171630881
15-05-2025 13:00:00,38.3,39.2116248204118
15-05-2025 14:00:00,36.5,39.095324507942
15-05-2025 15:00:00,34.7,35.8308041884269
15-05-2025 16:00:00,32.9,32.8328068271933
15-05-2025 17:00:00,31.23333333,30.1797555387733
