Datetime,T2M,ANN_SE
17-05-2025 20:00:00,26,26.52801955
17-05-2025 21:00:00,25.4,24.54511554
17-05-2025 22:00:00,24.8,27.03803317
17-05-2025 23:00:00,24.33333333,24.91792926
18-05-2025 00:00:00,23.86666667,23.27167921
18-05-2025 01:00:00,23.4,22.77351655
18-05-2025 02:00:00,25.66666667,25.5714272
18-05-2025 03:00:00,27.93333333,27.68791689
18-05-2025 04:00:00,30.2,31.34441407
18-05-2025 05:00:00,33.06666667,33.2576864
18-05-2025 06:00:00,35.93333333,35.18363389
18-05-2025 07:00:00,38.8,40.73712526
18-05-2025 08:00:00,39.26666667,39.31719267
18-05-2025 09:00:00,39.73333333,40.52115956
18-05-2025 10:00:00,40.2,39.57675329
18-05-2025 11:00:00,40.06666667,40.43874947
18-05-2025 12:00:00,39.93333333,40.25212621
18-05-2025 13:00:00,39.8,37.86368567
18-05-2025 14:00:00,37.6,39.66504248
18-05-2025 15:00:00,35.4,36.72251702
18-05-2025 16:00:00,33.2,32.79299592
18-05-2025 17:00:00,31.26666667,30.13717629
18-05-2025 18:00:00,29.33333333,29.689478
18-05-2025 19:00:00,27.4,27.48883871
18-05-2025 20:00:00,26.66666667,27.03111889
18-05-2025 21:00:00,25.93333333,26.12964174
18-05-2025 22:00:00,25.2,25.71874265
18-05-2025 23:00:00,24.66666667,26.14971369
19-05-2025 00:00:00,24.13333333,24.71546589
19-05-2025 01:00:00,23.6,22.52442318
19-05-2025 02:00:00,25.46666667,26.86287812
19-05-2025 03:00:00,27.33333333,29.014463
19-05-2025 04:00:00,29.2,32.42989702
19-05-2025 05:00:00,31.93333333,30.78209453
19-05-2025 06:00:00,34.66666667,34.91554667
19-05-2025 07:00:00,37.4,35.26648371
19-05-2025 08:00:00,38.06666667,38.63347589
19-05-2025 09:00:00,38.73333333,38.17159518
19-05-2025 10:00:00,39.4,41.37094544
19-05-2025 11:00:00,39.2,38.40625585
19-05-2025 12:00:00,39,37.26910246
19-05-2025 13:00:00,38.8,38.31709837
19-05-2025 14:00:00,36.73333333,34.70906074
19-05-2025 15:00:00,34.66666667,35.43631458
19-05-2025 16:00:00,32.6,30.48391957
19-05-2025 17:00:00,32.13333333,32.16249367
19-05-2025 18:00:00,31.66666667,29.53754313
19-05-2025 19:00:00,31.2,30.87179242
19-05-2025 20:00:00,30.6,32.28396151
19-05-2025 21:00:00,30,30.36955412
19-05-2025 22:00:00,29.4,28.51518235
19-05-2025 23:00:00,28.2,28.16802594
20-05-2025 00:00:00,27,27.0184618
20-05-2025 01:00:00,25.8,26.28430199
20-05-2025 02:00:00,27.36666667,25.96605363
20-05-2025 03:00:00,28.93333333,29.5405341
20-05-2025 04:00:00,30.5,27.72882321
20-05-2025 05:00:00,32.96666667,32.32122707
20-05-2025 06:00:00,35.43333333,34.93300153
20-05-2025 07:00:00,37.9,38.54896688
20-05-2025 08:00:00,39.1,39.12318972
20-05-2025 09:00:00,40.3,38.85972646
20-05-2025 10:00:00,41.5,40.49068239
20-05-2025 11:00:00,41.43333333,41.63691976
20-05-2025 12:00:00,41.36666667,41.28564675
20-05-2025 13:00:00,41.3,40.70657438
20-05-2025 14:00:00,38.7,38.20729198
20-05-2025 15:00:00,36.1,36.81335992
20-05-2025 16:00:00,33.5,32.96952297
20-05-2025 17:00:00,31.9,31.80973334
20-05-2025 18:00:00,30.3,32.52352334
20-05-2025 19:00:00,28.7,27.24115941
20-05-2025 20:00:00,28.1,26.20242587
20-05-2025 21:00:00,27.5,28.30294047
20-05-2025 22:00:00,26.9,26.2045978
20-05-2025 23:00:00,26.16666667,25.84057024
21-05-2025 00:00:00,25.43333333,24.63288624
21-05-2025 01:00:00,24.7,24.43378407
21-05-2025 02:00:00,26.4,28.03801413
21-05-2025 03:00:00,28.1,28.92193708
21-05-2025 04:00:00,29.8,30.68351619
21-05-2025 05:00:00,33.73333333,32.28213244
21-05-2025 06:00:00,37.66666667,36.4870851
21-05-2025 07:00:00,41.6,38.69081008
21-05-2025 08:00:00,42.2,41.37063146
21-05-2025 09:00:00,42.8,43.78032904
21-05-2025 10:00:00,43.4,43.92971255
21-05-2025 11:00:00,43.33333333,43.10634978
21-05-2025 12:00:00,43.26666667,43.24381568
21-05-2025 13:00:00,43.2,42.49410238
21-05-2025 14:00:00,40.4,40.60981542
21-05-2025 15:00:00,37.6,38.3847917
21-05-2025 16:00:00,34.8,33.14420876
21-05-2025 17:00:00,33.4,33.70704751
21-05-2025 18:00:00,32,32.95546142
21-05-2025 19:00:00,30.6,30.17464878
21-05-2025 20:00:00,29.66666667,30.38467114
21-05-2025 21:00:00,28.73333333,31.61749588
21-05-2025 22:00:00,27.8,27.69308045
21-05-2025 23:00:00,27.53333333,27.93635313
22-05-2025 00:00:00,27.26666667,26.51038321
22-05-2025 01:00:00,27,27.18572717
22-05-2025 02:00:00,29.06666667,29.53830474
22-05-2025 03:00:00,31.13333333,31.33298732
22-05-2025 04:00:00,33.2,32.15512323
22-05-2025 05:00:00,35.6,35.81145789
22-05-2025 06:00:00,38,39.49830498
22-05-2025 07:00:00,40.4,40.85971486
22-05-2025 08:00:00,41.66666667,42.65241021
22-05-2025 09:00:00,42.93333333,42.69046833
22-05-2025 10:00:00,44.2,44.96841908
22-05-2025 11:00:00,43.86666667,44.15283105
22-05-2025 12:00:00,43.53333333,42.55893979
22-05-2025 13:00:00,43.2,43.52638691
22-05-2025 14:00:00,40.6,39.58381331
22-05-2025 15:00:00,38,37.3514907
22-05-2025 16:00:00,35.4,35.59400378
22-05-2025 17:00:00,35.66666667,35.97125141
22-05-2025 18:00:00,35.93333333,34.71473268
22-05-2025 19:00:00,36.2,37.28001403
22-05-2025 20:00:00,35.46666667,36.05279869
22-05-2025 21:00:00,34.73333333,34.01120157
22-05-2025 22:00:00,34,32.42444443
22-05-2025 23:00:00,32.66666667,32.51818366
23-05-2025 00:00:00,31.33333333,30.876377
23-05-2025 01:00:00,30,30.11593447
23-05-2025 02:00:00,31.66666667,31.29458282
23-05-2025 03:00:00,33.33333333,31.27630217
23-05-2025 04:00:00,35,34.6020628
23-05-2025 05:00:00,37.53333333,37.22016693
23-05-2025 06:00:00,40.06666667,40.715976
23-05-2025 07:00:00,42.6,41.88455823
23-05-2025 08:00:00,43.06666667,44.78679634
23-05-2025 09:00:00,43.53333333,41.57448467
23-05-2025 10:00:00,44,45.34354688
23-05-2025 11:00:00,43.53333333,43.30347478
23-05-2025 12:00:00,43.06666667,43.94747906
23-05-2025 13:00:00,42.6,42.68177219
23-05-2025 14:00:00,40.46666667,41.63436362
23-05-2025 15:00:00,38.33333333,37.93640543
23-05-2025 16:00:00,36.2,35.07424906
23-05-2025 17:00:00,34.66666667,36.12225042
23-05-2025 18:00:00,33.13333333,33.01705027
23-05-2025 19:00:00,31.6,31.82702988
23-05-2025 20:00:00,30.86666667,32.13191088
23-05-2025 21:00:00,30.13333333,29.07589387
23-05-2025 22:00:00,29.4,30.01019659
23-05-2025 23:00:00,29.2,28.59553775
24-05-2025 00:00:00,29,28.86456671
24-05-2025 01:00:00,28.8,28.8740639
24-05-2025 02:00:00,30.26666667,28.72939671
24-05-2025 03:00:00,31.73333333,30.93526285
24-05-2025 04:00:00,33.2,34.58443774
24-05-2025 05:00:00,35.53333333,36.44140908
24-05-2025 06:00:00,37.86666667,37.8024802
24-05-2025 07:00:00,40.2,40.44912741
24-05-2025 08:00:00,41.4,41.09849115
24-05-2025 09:00:00,42.6,43.99008432
24-05-2025 10:00:00,43.8,43.5946997
24-05-2025 11:00:00,43.6,43.83756745
24-05-2025 12:00:00,43.4,44.57433145
24-05-2025 13:00:00,43.2,42.40343127
24-05-2025 14:00:00,41.06666667,42.66395027
24-05-2025 15:00:00,38.93333333,37.36507706
24-05-2025 16:00:00,36.8,38.46988627
24-05-2025 17:00:00,35.2,34.81812116
24-05-2025 18:00:00,33.6,33.35130779
24-05-2025 19:00:00,32,30.06331588
24-05-2025 20:00:00,31.46666667,31.00064076
24-05-2025 21:00:00,30.93333333,29.8678487
24-05-2025 22:00:00,30.4,29.77734778
24-05-2025 23:00:00,30.06666667,29.9259648
25-05-2025 00:00:00,29.73333333,30.71477768
25-05-2025 01:00:00,29.4,29.61273013
25-05-2025 02:00:00,31.33333333,31.64860808
25-05-2025 03:00:00,33.26666667,32.14409335
25-05-2025 04:00:00,35.2,34.29749562
25-05-2025 05:00:00,37.46666667,39.30981134
25-05-2025 06:00:00,39.73333333,38.97997645
25-05-2025 07:00:00,42,43.69710844
25-05-2025 08:00:00,43.2,42.95093639
25-05-2025 09:00:00,44.4,44.40234444
25-05-2025 10:00:00,45.6,46.69679791
25-05-2025 11:00:00,45.06666667,46.36996857
25-05-2025 12:00:00,44.53333333,44.41978425
25-05-2025 13:00:00,44,43.60216925
25-05-2025 14:00:00,41.53333333,41.47603192
25-05-2025 15:00:00,39.06666667,39.41297009
25-05-2025 16:00:00,36.6,37.5133145
25-05-2025 17:00:00,36,36.00433432
25-05-2025 18:00:00,35.4,36.03416974
25-05-2025 19:00:00,34.8,36.47881915
25-05-2025 20:00:00,33.93333333,34.32405941
25-05-2025 21:00:00,33.06666667,33.38601582
25-05-2025 22:00:00,32.2,30.64357956
25-05-2025 23:00:00,31.66666667,28.97097045
26-05-2025 00:00:00,31.13333333,31.53130003
26-05-2025 01:00:00,30.6,30.50283408
26-05-2025 02:00:00,32.23333333,31.70583806
26-05-2025 03:00:00,33.86666667,34.11621087
26-05-2025 04:00:00,35.5,35.4381046
26-05-2025 05:00:00,37.63333333,38.7889642
26-05-2025 06:00:00,39.76666667,39.85490405
26-05-2025 07:00:00,41.9,41.13463139
26-05-2025 08:00:00,43.03333333,44.0479518
26-05-2025 09:00:00,44.16666667,43.94417353
26-05-2025 10:00:00,45.3,45.83953955
26-05-2025 11:00:00,44.96666667,44.47746627
26-05-2025 12:00:00,44.63333333,43.96745892
26-05-2025 13:00:00,44.3,44.38624677
26-05-2025 14:00:00,41.76666667,41.77981212
26-05-2025 15:00:00,39.23333333,39.72500973
26-05-2025 16:00:00,36.7,36.42472002
26-05-2025 17:00:00,35.96666667,34.08495784
26-05-2025 18:00:00,35.23333333,34.78987206
26-05-2025 19:00:00,34.5,35.31342187
26-05-2025 20:00:00,33.7,33.3952802
26-05-2025 21:00:00,32.9,32.64753214
26-05-2025 22:00:00,32.1,33.11073515
26-05-2025 23:00:00,31.7,30.97044454
27-05-2025 00:00:00,31.3,29.71909714
27-05-2025 01:00:00,30.9,30.73540208
27-05-2025 02:00:00,31.4,30.90386934
27-05-2025 03:00:00,31.9,30.90989215
27-05-2025 04:00:00,32.4,32.22029056
27-05-2025 05:00:00,34,34.50364342
27-05-2025 06:00:00,35.6,35.59048206
27-05-2025 07:00:00,37.2,37.51456199
27-05-2025 08:00:00,38,39.85818994
27-05-2025 09:00:00,38.8,38.44865372
27-05-2025 10:00:00,39.6,39.88522248
27-05-2025 11:00:00,39.33333333,38.8115449
27-05-2025 12:00:00,39.06666667,38.19940603
27-05-2025 13:00:00,38.8,38.20064801
27-05-2025 14:00:00,36.73333333,36.24275178
27-05-2025 15:00:00,34.66666667,35.03501975
27-05-2025 16:00:00,32.6,35.00708639
27-05-2025 17:00:00,29.66666667,28.93294049
27-05-2025 18:00:00,26.73333333,26.30641943
27-05-2025 19:00:00,23.8,23.73531816
27-05-2025 20:00:00,24.86666667,25.2722398
27-05-2025 21:00:00,25.93333333,26.20339255
27-05-2025 22:00:00,27,28.31580664
27-05-2025 23:00:00,26.06666667,23.58035466
28-05-2025 00:00:00,25.13333333,22.68745804
28-05-2025 01:00:00,24.2,23.69187608
28-05-2025 02:00:00,25.66666667,26.79106477
28-05-2025 03:00:00,27.13333333,25.5290215
28-05-2025 04:00:00,28.6,25.51809395
28-05-2025 05:00:00,30.13333333,30.71861806
28-05-2025 06:00:00,31.66666667,31.91634103
28-05-2025 07:00:00,33.2,32.08286881
28-05-2025 08:00:00,34.06666667,33.05678909
28-05-2025 09:00:00,34.93333333,33.93964171
28-05-2025 10:00:00,35.8,35.913265
28-05-2025 11:00:00,34.73333333,34.09155115
28-05-2025 12:00:00,33.66666667,34.17293154
28-05-2025 13:00:00,32.6,29.67487811
28-05-2025 14:00:00,30.33333333,29.45532144
28-05-2025 15:00:00,28.06666667,26.91280472
28-05-2025 16:00:00,25.8,25.53732897
28-05-2025 17:00:00,25.86666667,25.31533178
28-05-2025 18:00:00,25.93333333,26.75087992
28-05-2025 19:00:00,26,24.09474676
28-05-2025 20:00:00,25.53333333,25.57994822
28-05-2025 21:00:00,25.06666667,25.63879125
28-05-2025 22:00:00,24.6,26.50249749
28-05-2025 23:00:00,24.66666667,24.17300345
29-05-2025 00:00:00,24.73333333,25.06580446
29-05-2025 01:00:00,24.8,22.95159068
29-05-2025 02:00:00,25.46666667,23.01564092
29-05-2025 03:00:00,26.13333333,26.99896947
29-05-2025 04:00:00,26.8,26.79430239
29-05-2025 05:00:00,28.2,29.40761615
29-05-2025 06:00:00,29.6,28.19268082
29-05-2025 07:00:00,31,31.53274116
29-05-2025 08:00:00,32.06666667,33.98163511
29-05-2025 09:00:00,33.13333333,33.5634036
29-05-2025 10:00:00,34.2,34.48341171
29-05-2025 11:00:00,34,34.00876737
29-05-2025 12:00:00,33.8,32.1903255
29-05-2025 13:00:00,33.6,34.98904891
29-05-2025 14:00:00,32.33333333,31.70739051
29-05-2025 15:00:00,31.06666667,31.58360818
29-05-2025 16:00:00,29.8,28.19836644
29-05-2025 17:00:00,29.06666667,27.85808016
29-05-2025 18:00:00,28.33333333,29.80386032
29-05-2025 19:00:00,27.6,27.24412105
29-05-2025 20:00:00,27.06666667,28.5558309
29-05-2025 21:00:00,26.53333333,26.45317076
29-05-2025 22:00:00,26,24.11261642
29-05-2025 23:00:00,24.46666667,25.38076395
30-05-2025 00:00:00,22.93333333,22.32887358
30-05-2025 01:00:00,21.4,22.11594299
30-05-2025 02:00:00,22.66666667,22.69250012
30-05-2025 03:00:00,23.93333333,22.35210768
30-05-2025 04:00:00,25.2,25.36835204
30-05-2025 05:00:00,27.13333333,29.38379237
30-05-2025 06:00:00,29.06666667,29.57182747
30-05-2025 07:00:00,31,30.94106184
30-05-2025 08:00:00,31.86666667,32.96856576
30-05-2025 09:00:00,32.73333333,32.94920427
30-05-2025 10:00:00,33.6,33.81470869
30-05-2025 11:00:00,30.46666667,29.34808373
30-05-2025 12:00:00,27.33333333,27.57295625
30-05-2025 13:00:00,24.2,25.26101377
30-05-2025 14:00:00,24.2,23.34329123
30-05-2025 15:00:00,24.2,25.65967385
30-05-2025 16:00:00,24.2,24.10602929
30-05-2025 17:00:00,24.13333333,23.22364028
30-05-2025 18:00:00,24.06666667,25.08893535
30-05-2025 19:00:00,24,23.70612336
30-05-2025 20:00:00,23.73333333,24.5116045
30-05-2025 21:00:00,23.46666667,23.16770304
30-05-2025 22:00:00,23.2,23.13869645
30-05-2025 23:00:00,22.86666667,23.37241538
31-05-2025 00:00:00,22.53333333,22.83141411
31-05-2025 01:00:00,22.2,20.15518841
31-05-2025 02:00:00,23.26666667,22.11773373
31-05-2025 03:00:00,24.33333333,25.28569517
31-05-2025 04:00:00,25.4,25.26460029
31-05-2025 05:00:00,27.53333333,26.99666844
31-05-2025 06:00:00,29.66666667,28.27454257
31-05-2025 07:00:00,31.8,30.69359951
31-05-2025 08:00:00,32.93333333,30.86160622
31-05-2025 09:00:00,34.06666667,33.96288482
31-05-2025 10:00:00,35.2,34.58678396
31-05-2025 11:00:00,34.86666667,33.87620882
31-05-2025 12:00:00,34.53333333,34.46352759
31-05-2025 13:00:00,34.2,34.57295891
31-05-2025 14:00:00,32.93333333,35.07822295
31-05-2025 15:00:00,31.66666667,30.11744717
31-05-2025 16:00:00,30.4,31.58801205
31-05-2025 17:00:00,29.86666667,30.86379905
31-05-2025 18:00:00,29.33333333,28.53500084
31-05-2025 19:00:00,28.8,29.00825488
31-05-2025 20:00:00,28.46666667,27.99773213
31-05-2025 21:00:00,28.13333333,28.3236075
31-05-2025 22:00:00,27.8,29.34639912
31-05-2025 23:00:00,27.46666667,28.08722839
01-06-2025 00:00:00,27.13333333,27.65450183
01-06-2025 01:00:00,26.8,26.35906416
01-06-2025 02:00:00,26.93333333,25.41262777
01-06-2025 03:00:00,27.06666667,26.85305032
01-06-2025 04:00:00,27.2,28.43640544
01-06-2025 05:00:00,29.2,27.63511862
01-06-2025 06:00:00,31.2,30.11885512
01-06-2025 07:00:00,33.2,33.32938593
01-06-2025 08:00:00,34.13333333,33.12436242
01-06-2025 09:00:00,35.06666667,34.2545718
01-06-2025 10:00:00,36,35.56594062
